investigating_agency,roadway_number,building_number,roadway_direction,roadway_name,roadway_suffix,roadway_type,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,latitude,longitude,milepoint,day_of_week,date,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision,fatality_indicator,injury_indicator
LOUISVILLE METRO POLICE DEPT,KY3064,,,NORTHWESTERN,PKWY,STATE,,,,,,,38.27476782,-85.80348581,1.244,TUESDAY,2020-10-06 22:26:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1020,,,NATIONAL,TPKE,STATE,,TOLLS,,,,,38.13576578,-85.75241181,4.29,WEDNESDAY,2020-11-11 01:24:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,,,S,6TH,ST,METRO,US0150,BROADWAY,,,,,38.24632388,-85.7617172,0.742,THURSDAY,2020-12-31 22:12:00-05:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,BLUEGRASS,AVE,METRO,,,,,,,38.17945919,-85.78642288,0.68,SUNDAY,2021-03-07 15:18:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0060A,1540,,BERRY,BLVD,STATE,,,,,,,38.19659194,-85.79084908,1.038,SUNDAY,2021-05-02 01:12:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1932,,,BRECKENRIDGE,LN,STATE,,BERKSHIRE,,,,,38.2224753,-85.63269116,3.065,TUESDAY,2021-05-11 00:40:00-04:00,2,1,OTHER,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),False,False,True
LOUISVILLE METRO POLICE DEPT,,,,STRAWBERRY,LN,METRO,,EILER,,,,,38.16529151,-85.75480214,0.731,TUESDAY,2021-05-18 03:25:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,,,S,HANCOCK,ST,METRO,US0150,BROADWAY,,,,,38.2450422,-85.74360737,0.693,FRIDAY,2021-05-21 07:08:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1747,3215,,FERN VALLEY,RD,STATE,,,,,,,38.15704546,-85.70497155,1.495,MONDAY,2021-05-24 18:09:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031W,7600,,DIXIE,HWY,STATE,,,,,,,38.14291255,-85.8399874,11.64,WEDNESDAY,2021-06-02 01:51:00-04:00,3,1,RAINING,WET,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
