investigating_agency,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run_indicator,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision_indicator,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
LOUISVILLE METRO POLICE DEPT,,,GRADE,LN,,3.586,,,,WALTERS,KY1065,OUTER,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2013-12-04 06:05:00-05:00,38.1371265,-85.7378836,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,KY0061,,PRESTON,HWY,,4.731,,OAKLAWN,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2013-12-13 12:25:00-05:00,38.1488095,-85.6924564,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,4TH,ST,S,0.724,US0150,BROADWAY,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2013-12-16 17:11:00-05:00,38.2462366,-85.7584259,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,US0031W,,22ND,ST,S,20.299,,MAIN,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2013-12-19 14:35:00-05:00,38.2599116,-85.7863124,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY0864,,SHELBY,ST,S,15.499,,,,GRAY,US0150,BROADWAY,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2013-12-28 15:11:00-05:00,38.2449102,-85.7394705,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0031W,,DIXIE,HWY,,5.539,,LANDSTAR,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2013-12-29 21:25:00-05:00,38.0657692,-85.8853507,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,INDIAN,TRL,E,1.08,,,,INDIAN OAKS,,LODEMA,2,1,CLEAR,WET,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2014-01-09 19:30:00-05:00,38.1709886,-85.6870963,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,ROY WILKINS AVE,,,,,W MARKET ST,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2014-01-11 23:08:00-05:00,38.201666667,-85.536666667,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,COLONEL HANCOCK,DR,,0.249,,,,EAGLE TRACE,,TREETOPS,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2014-01-12 16:54:00-05:00,38.1311334,-85.5729427,True,False,SUNDAY
WEST BUECHEL POLICE DEPT.,,,BASHFORD,AVE,,0.143,KY2052,SHEPHERDSVILLE,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-01-19 15:30:00-05:00,38.1946755,-85.6611334,True,False,SUNDAY
SHIVELY POLICE DEPARTMENT,KY1931,,7TH STREET,RD,,9.034,,,US0060A ,BERRY,KY1931,MANSLICK,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-02-15 13:45:00-05:00,38.2025426,-85.7924747,True,False,SATURDAY
ST. MATTHEWS POLICE DEPARTMENT,KY1932,,BRECKENRIDGE,LN,,4.157,,,,KRESGE,,DUPONT,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-02-21 13:20:00-05:00,38.2364077,-85.6415918,True,False,FRIDAY
ST. MATTHEWS POLICE DEPARTMENT,KY1447,,WESTPORT,RD,,0.927,,HUBBARDS,,,,,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,False,2014-02-28 22:31:00-05:00,38.2601522,-85.6413594,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,RIVER PARK,DR,,1.415,,,,,,,2,1,CLEAR,SNOW/SLUSH,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-03-05 08:23:00-05:00,38.2537004,-85.8009686,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,BRECKINRIDGE,ST,E,1.288,KY0061,PRESTON,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2014-03-05 20:05:00-05:00,38.2407333,-85.7484333,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,35TH,ST,N,0.001,KY3064,NORTHWESTERN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-03-07 00:00:00-05:00,38.2747077,-85.8045716,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,5501,BRUCE,AVE,,0.342,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-03-21 00:00:00-04:00,38.1458458,-85.7831477,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,12TH,ST,S,0.769,,GARLAND,,,,,2,1,RAINING,WET,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-03-27 00:00:00-04:00,38.241977,-85.7727098,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,26TH,ST,N,0.626,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-03-27 10:00:00-04:00,38.2694018,-85.7908544,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,3RD,ST,S,12.484,,,,MUHAMMAD ALI,,POST OFFICE,2,1,CLOUDY,WET,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-02 11:44:00-04:00,38.2514867,-85.7557378,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,RIVER,RD,,5.986,,MAYFAIR,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-10 07:17:00-04:00,38.3386475,-85.6263266,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,BROOK,ST,S,1.962,,WOODBINE,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2014-04-10 10:42:00-04:00,38.2294649,-85.7545558,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,US0060,,FRANKFORT,AVE,,2.68,,,,FENLEY,,WEISSER,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-10 16:00:00-04:00,38.2541056,-85.671472,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,15TH,ST,S,2.214,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-10 17:40:00-04:00,38.2572563,-85.7749754,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,15.296,,,,LUCIA,,PATTERSON,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-11 10:00:00-04:00,38.2373575,-85.7190645,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY0864,,GOSS,AVE,,13.937,,TEXAS,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-12 15:40:00-04:00,38.2259691,-85.7333956,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,9.436,,,,,,,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-14 15:40:00-04:00,38.1872457,-85.6378594,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,MANNER DALE,DR,,0.005,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-16 16:12:00-04:00,38.2026242,-85.6224707,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,US0150,,BROADWAY,,W,2.56,KY1020,2ND,,,,,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2014-04-18 20:25:00-04:00,38.2458373,-85.7550471,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0060,,FRANKFORT,AVE,,0.519,,,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-26 14:35:00-04:00,38.2548004,-85.7104998,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,GALLAGHER,ST,,0.132,,17TH,,,,,2,1,CLOUDY,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-29 17:38:00-04:00,38.2389427,-85.7836088,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,1600,ST CATHERINE,ST,W,0.999,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-04-30 15:58:00-04:00,38.2398587,-85.7826097,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,ORELL,RD,E,0.925,,,,BLEVINS GAP,,PENDLETON,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),False,2014-04-30 20:50:00-04:00,38.0699212,-85.8796581,False,False,WEDNESDAY
SHIVELY POLICE DEPARTMENT,US0060A,,7TH,ST,,0.398,,NOBEL,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-01 13:38:00-04:00,38.195616667,-85.802016667,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY2251,,BARDSTOWN,RD,,0.853,,STEIER,,,,,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2014-05-01 14:28:00-04:00,38.1974925,-85.6569944,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,ASHLAND,AVE,W,0.738,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-02 16:20:00-04:00,38.1864844,-85.7791631,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,MAGAZINE,ST,,1.452,,,,26TH,,26TH,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-03 16:00:00-04:00,38.2515952,-85.7935963,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,SOUTHERN,AVE,,0.527,,34TH,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-05 15:08:00-04:00,38.2322606,-85.8114552,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,KY0061,7000,PRESTON,HWY,,4.739,,,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-05 16:42:00-04:00,38.1489277,-85.6924471,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,12TH,ST,S,0.389,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-06 16:32:00-04:00,38.2476536,-85.7715749,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,SOUTHWESTERN,PKWY,,1.671,,GREENWOOD,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-06 17:50:00-04:00,38.244962,-85.8299147,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,STRADER,AVE,,0.427,,POWELL,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-06 20:13:00-04:00,38.1914751,-85.7911421,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,14.644,,,US0060A ,EASTERN,,EDENSIDE,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-08 10:50:00-04:00,38.2321316,-85.7095819,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,OAK,ST,W,0.27,,4TH,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-08 12:22:00-04:00,38.235029,-85.7602604,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,1600,SALE,AVE,,0.74,,,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-08 13:22:00-04:00,38.197749,-85.7906187,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY0061,,PRESTON,HWY,,5.011,,INDUSTRIAL,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-09 16:00:00-04:00,38.1525004,-85.6945406,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0031W,,DR W J HODGE,ST,,18.857,,OAK,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-10 17:55:00-04:00,38.2376561,-85.788709,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,MARKET,ST,E,17.323,,,KY0061  ,PRESTON,KY0061,JACKSON,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-14 14:35:00-04:00,38.2540185,-85.7451355,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,US0031W,,MAIN,ST,W,21.652,,,,7TH,,8TH,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-15 14:05:00-04:00,38.2571919,-85.7616301,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,3410,RICHMONT,RD,,0.148,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-16 00:00:00-04:00,38.1985554,-85.8421301,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,RUDD,AVE,,0.436,,CEDAR GROVE,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-17 15:39:00-04:00,38.2760767,-85.8056448,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,VERMONT,AVE,,0.364,,34TH,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2014-05-18 20:05:00-04:00,38.2555547,-85.8073452,True,False,SUNDAY
SHIVELY POLICE DEPARTMENT,US0031W,,DIXIE,HWY,,14.98,,,,GARRS,,GARRS,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-21 07:53:00-04:00,38.1877897,-85.8111801,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,HANCOCK,ST,S,0.653,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-24 19:00:00-04:00,38.2456309,-85.7434851,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,BROADWAY,ST,W,,,12TH,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-27 05:54:00-04:00,38.201666667,-85.536666667,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,6TH,ST,S,1.735,,,,ORMSBY,,FLORAL,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-27 18:31:00-04:00,38.2320797,-85.7642623,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,4111,HALE,AVE,,2.199,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-28 20:30:00-04:00,38.2413357,-85.8202876,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,SOUTHERN,PKWY,,8.355,,,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-29 14:40:00-04:00,38.1892431,-85.7667043,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,ROY WILKINS,AVE,,0.572,,,,CHESTNUT,,MAGAZINE,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-30 07:51:00-04:00,38.2493547,-85.7660693,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,1ST,ST,S,0.096,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-05-30 08:27:00-04:00,38.2547023,-85.7518096,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,PAYNE,ST,,,,SPRING,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2014-06-01 00:43:00-04:00,38.252166667,-85.719433333,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,KY1450,,BLUE LICK,RD,,2.425,,MOODY,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2014-06-01 02:55:00-04:00,38.1199659,-85.6894985,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,US0042,,BROWNSBORO,RD,,2.061,,HITE,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-01 09:25:00-04:00,38.2587748,-85.6980923,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,KY1865,,NEW CUT,RD,,2.934,,,,WESTVIEW,,GLEN HOLLOW,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-01 13:39:00-04:00,38.1496761,-85.7761249,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,9.804,,,US0031E ,BUECHEL,,RICHLAND,2,1,CLOUDY,DRY,True,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2014-06-03 12:05:00-04:00,38.1898074,-85.6429454,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,LOCUST,LN,,0.137,KY0061,PRESTON,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-03 19:33:00-04:00,38.2068958,-85.7375107,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,LIBERTY,ST,W,0.723,,,KY1020  ,2ND,KY1020,3RD,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-05 17:34:00-04:00,38.2528337,-85.7550629,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY1020,5543,NATIONAL,TPKE,,5.483,,,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-06 14:45:00-04:00,38.1507184,-85.7628742,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,FLOYD,ST,S,1.665,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-06 15:30:00-04:00,38.2317603,-85.7520956,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY0061,,PRESTON,ST,S,12.698,,MUHAMMAD ALI,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-07 20:00:00-04:00,38.2499767,-85.7468112,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,COLORADO,AVE,,1.237,,EARL,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-08 08:19:00-04:00,38.2084299,-85.7847604,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,WELLINGTON,AVE,W,0.229,,,,1ST,,2ND,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-08 15:30:00-04:00,38.1836529,-85.7634427,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,OAK,ST,E,0.012,,1ST,,,,,2,1,CLOUDY,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-10 08:56:00-04:00,38.2345084,-85.7551254,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,CENTRAL,AVE,,1.041,US0060A,TAYLOR,,,,,2,1,CLOUDY,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-13 06:40:00-04:00,38.2063758,-85.7759291,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY0864,,LOGAN,ST,,14.693,,MARY,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-13 18:30:00-04:00,38.2342361,-85.7398033,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY3082,,BANK,ST,,1.201,,,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-15 20:09:00-04:00,38.2686519,-85.7891085,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,US0150,,22ND,ST,N,0.25,,,,,,,2,1,CLEAR,DRY,True,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-16 17:17:00-04:00,38.266566667,-85.78355,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,11.342,,BASHFORD MANOR,,,,,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2014-06-20 09:58:00-04:00,38.2029493,-85.6643764,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,15TH,ST,S,2.212,US0031W,MARKET,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-21 09:13:00-04:00,38.2572393,-85.774975,False,True,SATURDAY
JEFFERSONTOWN POLICE DEPT,,,OLD SIX MILE,LN,,0.442,,,,TREE,,BALSAM,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2014-06-21 12:25:00-04:00,38.2004833,-85.5781838,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,EXMOOR,AVE,,0.228,,,,FOXBORO,,FEELINGS,2,1,CLOUDY,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,False,2014-06-22 13:38:00-04:00,38.2585466,-85.5655333,False,False,SUNDAY
