investigating_agency,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run_indicator,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision_indicator,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
LOUISVILLE METRO POLICE DEPT,,,MADISON,,,,,DR W J HODGE,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,False,2016-03-26 00:00:00-04:00,38.201666667,-85.536666667,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0031E,967,BAXTER,AVE,,15.697,,,,,,,2,1,CLEAR,DRY,True,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2016-03-26 10:00:00-04:00,38.2408545,-85.7247778,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,BARRET,AVE,,0.113,,RUBEL,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2016-03-27 13:38:00-04:00,38.2466188,-85.7315897,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,HUBBARDS,LN,,,,,,LEDYARD,,BLEMHIEM,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2016-03-27 20:30:00-04:00,38.201666667,-85.536666667,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,KY0155,,TAYLORSVILLE,RD,,12.114,,,,ARBORO,,CARDWELL,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2016-04-05 22:08:00-04:00,38.2188896,-85.6034284,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,16TH,ST,S,0.732,US0150,BROADWAY,,,,,2,1,CLOUDY,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-04-11 16:10:00-04:00,38.2485537,-85.7781843,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,WHISPERING BROOK,DR,,0.185,,QUIET WOOD,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2016-04-15 11:35:00-04:00,38.1042612,-85.6965742,False,True,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,14.049,,ROANOKE,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-04-16 18:55:00-04:00,38.2278071,-85.7000018,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,DIXIE GARDEN,DR,,0.309,,BLAZE,,,,,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2016-04-19 19:50:00-04:00,38.10143,-85.8767086,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,KY0061,,JACKSON,ST,S,11.407,,SHELBY,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-04-23 14:08:00-04:00,38.2324702,-85.7478062,False,False,SATURDAY
