longitude,latitude,OBJECTID,main_street,cross_street,route_number,milepoint,owner,type
-85.5989479719233,38.1649074775022,189,BARDSTOWN,HUDSON,US-31E,6.8,KYTC,1
-85.5959821271481,38.1629588920532,190,BARDSTOWN,FAIRGROUND,US-31E,6.59,KYTC,1
-85.5480394967717,38.1961684066657,191,BLANKENBAKER,BLANKENBAKER ACCESS,KY 913,0.0,KYTC,1
-85.570602739448,38.190943254149,192,WATTERSON,RUCKRIEGEL,,,METRO,1
-85.6589458230137,38.1347408571083,193,APPLEGATE,SHEPHERDSVILLE,,,METRO,1
-85.5773951785203,38.1304431617796,194,BARDSTOWN,COLONEL HANCOCK,US-31E,4.09,KYTC,1
-85.6939784159541,38.2707645646582,195,RIVERWOOD,ZORN,,,METRO,1
-85.7932593330034,38.2634056956947,196,DUNCAN,26TH,,,METRO,1
-85.7796996062092,38.2591913896914,197,18TH,MAIN,US 31W,20.662,KYTC,1
-85.7865663607051,38.2585418534895,198,MARKET,22ND,US 31W,20.2009,KYTC,1
-85.7046429231613,38.2588211760479,199,BROWNSBORO,CLIFTON,US-42,1.685,KYTC,1
-85.7752196669579,38.2558446342667,200,15TH,JEFFERSON,,,METRO,1
-85.7860148871275,38.2520657459928,201,CHESTNUT,DR W J HODGE,US-31W,19.846,KYTC,1
-85.7810569507147,38.2514996892623,202,CHESTNUT,18TH,,,METRO,1
-85.7999401015046,38.2496230358187,203,BROADWAY,29TH,,,METRO,1
-85.7206978960002,38.250596307309,204,LEXINGTON,PAYNE,,,METRO,1
-85.7982821634455,38.2495737892946,205,BROADWAY,28TH,,,METRO,1
-85.788559898163,38.2472140493591,206,MAPLE,22ND,US-31W,19.42,KYTC,1
-85.763685088452,38.244718237182,207,7TH,YORK,,,METRO,1
-85.7891084150447,38.2440922390248,208,GARLAND,22ND,US-31W,19.2,KYTC,1
-85.7672077895943,38.2442912912721,209,CAWTHON,9TH,,,METRO,1
-85.7558081176835,38.2415402128222,210,BRECKINRIDGE,2ND,KY-1020,11.8,KYTC,1
-85.7541459670913,38.2413606340491,211,W BRECKINRIDGE ST,S 1ST ST,,,METRO,1
-85.7546670058394,38.2383981345529,212,1ST,KENTUCKY,,,METRO,1
-85.7902727624413,38.2374580835039,213,OAK,22ND,US-31W,18.747,KYTC,1
-85.759906353184,38.2374168180391,214,4TH,ST CATHERINE,,,METRO,1
-85.7582469261615,38.2372386366173,215,ST CATHERINE,3RD,KY-1020,11.49,KYTC,1
-85.7532790769041,38.2367008991549,216,BROOK,ST CATHERINE,,,METRO,1
-85.7553410430205,38.2345664902377,217,1ST,OAK,,,METRO,1
-85.7318081589434,38.2343831185406,218,ST CATHERINE,SCHILLER,,,METRO,1
-85.7397991073777,38.2342108870728,219,LOGAN,MARY,KY-864,14.691,KYTC,1
-85.7597079233367,38.2289794143631,220,MAGNOLIA,3RD,KY-1020,10.912,KYTC,1
-85.7583702301701,38.2269527099403,221,BURNETT,2ND,KY-1020,10.784,KYTC,1
-85.7550627175097,38.2265949381107,222,BROOK,BURNETT,,,METRO,1
-85.7552891630371,38.2252996753205,223,BROOK,HILL,,,METRO,1
-85.7623729733392,38.2233896762981,224,4TH,LEE,,,METRO,1
-85.7607169353563,38.2232126914367,225,LEE,3RD,KY-1020,10.508,KYTC,1
-85.811707049227,38.22187829383,226,CANE RUN,COMMERCE CENTER,KY-1934,11.28,KYTC,1
-85.7630575165239,38.2194824846561,227,BRANDEIS,4TH,,,METRO,1
-85.7551054968592,38.21462089217,228,FLOYD,UNIVERSITY,,,METRO,1
-85.7870844259237,38.2096258063524,229,ARCADE,7TH STREET,KY-1931,9.62,KYTC,1
-85.7151771486571,38.207663369189,230,FINCASTLE,POPLAR LEVEL,KY-864,12.268,KYTC,1
-85.7363101651596,38.2049585950974,231,HESS,PRESTON,KY-61,9.332,KYTC,1
-85.5261894589444,38.2462773314475,232,JUNEAU,SHELBYVILLE,US-60,10.73,KYTC,1
-85.5242920059551,38.3042354170978,233,COLLINS,WESTPORT,KY-1447,8.03,KYTC,1
-85.6296228021137,38.2890905796177,234,LIME KILN,U S HIGHWAY 42,US-42,6.52,KYTC,1
-85.57761102274,38.2860389792358,235,GOOSE CREEK,WESTPORT,KY-1447,4.94,KYTC,1
-85.6222855383342,38.2663388067552,236,WASHBURN,WESTPORT,KY-1447,2.09,KYTC,1
-85.6069556953987,38.2620455730655,237,LYNDON,LA GRANGE,KY-2050,0.27,KYTC,1
-85.6399980059177,38.2516485389406,238,HUBBARDS,SHELBYVILLE,US-60,4.41,KYTC,1
-85.6472732985666,38.2522455155441,239,BROWNS,SHELBYVILLE,US-60,4.04,KYTC,1
-85.5396754611051,38.2453504411394,240,MAIN,MADISON,,,MIDDLETOWN,1
-85.6477253479261,38.243477618781,241,BRECKENRIDGE,WINCHESTER,KY-1932,4.74,KYTC,1
-85.6587985672862,38.2364495526858,242,CANNONS,I 64 RAMP,KY-2048,1.325,KYTC,1
-85.5723678160216,38.2165963829366,243,BUNSEN PKY,PLANTSIDE DR,,,JEFFERSONTOWN,1
-85.6424638278376,38.246126133545,244,BROWNS,WINCHESTER,,,METRO,1
-85.6340386898918,38.2391560262328,245,BROWNS,SHERBURN,,,METRO,1
-85.6305074649298,38.22015762339,246,BRECKENRIDGE,TAYLORSVILLE,KY-155,13.59,KYTC,1
-85.62982080611,38.2360402406981,247,BROWNS,DUTCHMANS,,,METRO,1
-85.631669335613,38.2345524552806,248,DUTCHMANS,DUPONT,,,METRO,1
-85.6408173189699,38.2349292624281,249,BRECKENRIDGE,DUTCHMANS,KY-1932,4.05,KYTC,1
-85.5395277393942,38.3176930935698,250,BALLARDSVILLE,MURPHY,KY-22,5.64,KYTC,1
-85.5910781679698,38.2155178497232,251,TAYLORSVILLE,HURSTBOURNE,KY-155,11.4,KYTC,1
-85.59564263902,38.212017104603,252,HURSTBOURNE,GREENE,KY-1747,10.68,KYTC,1
-85.5868137139562,38.2115745784884,253,SIX MILE,TAYLORSVILLE,KY-155,11.03,KYTC,1
-85.6505811247168,38.2259755538957,254,CANNONS,DUTCHMANS,KY-2048,0.485,KYTC,1
-85.6544495609707,38.2217930195334,255,TAYLORSVILLE,I 264 RAMP,KY-155,14.88,KYTC,1
-85.5592130052594,38.2450550360854,256,LA FONTENAY,MOSER,US-60,8.83,KYTC,1
-85.5238397428083,38.1870580861515,257,TAYLORSVILLE,TUCKER STATION,KY 155,7.588,KYTC,1
